trade_id,trade_date,security_id,side,quantity,price,trade_currency,version,last_updated_ts,source_file,source_row_number,_ingested_at
TRD100001,2026-01-30,SEC0001,BUY,5000,187.32,USD,1,2026-01-30T16:02:11Z,trades_20260130.csv,1,2026-01-30T18:50:00Z
TRD100002,2026-01-30,SEC0002,SELL,1200,402.10,USD,1,2026-01-30T16:05:44Z,trades_20260130.csv,2,2026-01-30T18:50:00Z
TRD100003,01/30/2026,SEC0003,BUY,800,104.55,,1,2026-01-30T16:07:02Z,trades_20260130.csv,3,2026-01-30T18:50:00Z
TRD100004,2026-01-30,SEC0004,SELL,15000,2.14,GBP,1,2026-01-30T16:10:19Z,trades_20260130.csv,4,2026-01-30T18:50:00Z
TRD100005,2026-01-30,SEC0005,BUY,200000,99.87,USD,1,2026-01-30T16:12:55Z,trades_20260130.csv,5,2026-01-30T18:50:00Z
TRD100006,2026-01-30,SEC0006,SELL,150000,101.42,EUR,1,2026-01-30T16:15:30Z,trades_20260130.csv,6,2026-01-30T18:50:00Z
TRD100007,2026-01-30,SEC0007,BUY,40000,32.18,BRL,1,2026-01-30T16:18:02Z,trades_20260130.csv,7,2026-01-30T18:50:00Z
TRD100008,2026-01-30,SEC0008,BUY,100000,98.20,USD,1,2026-01-30T16:20:41Z,trades_20260130.csv,8,2026-01-30T18:50:00Z
TRD100009,2026-01-30,SEC0009,SELL,3000,2765.00,JPY,1,2026-01-30T16:22:10Z,trades_20260130.csv,9,2026-01-30T18:50:00Z
TRD100010,2026-01-30,SEC0010,BUY,6000,118.44,USD,1,2026-01-30T16:25:00Z,trades_20260130.csv,10,2026-01-30T18:50:00Z
TRD100002,2026-01-30,SEC0002,SELL,1250,402.10,USD,2,2026-01-30T18:40:12Z,trades_20260130.csv,11,2026-01-30T18:50:00Z
TRD100011,2026-01-30,SEC9999,BUY,500,55.00,USD,1,2026-01-30T16:30:00Z,trades_20260130.csv,12,2026-01-30T18:50:00Z
TRD100012,2026-01-30,SEC0011,BUY,1,4500000.00,USD,1,2026-01-30T16:35:00Z,trades_20260130.csv,13,2026-01-30T18:50:00Z
TRD100013,2026-01-30,SEC0012,SELL,50000,101.05,USD,1,2026-01-30T16:38:22Z,trades_20260130.csv,14,2026-01-30T18:50:00Z
TRD100014,2026-01-30,SEC0013,BUY,30000,97.60,GBP,1,2026-01-30T16:40:05Z,trades_20260130.csv,15,2026-01-30T18:50:00Z
